OBJECTID,ROUTE_NUMBER,ROUTE_NAME,DIRECTION,ROUTE_ORIENTATION,ROUTE_DESCRIPTION,NUM_MILES,WEEKDAY_BASE_FREQUENCY,WEEKDAY_PEAK_FREQUENCY,WEEKDAY_NIGHT_FREQUENCY,SATURDAY_BASE_FREQUENCY,SATURDAY_NIGHT_FREQUENCY,SUNDAY_BASE_FREQUENCY,SUNDAY_NIGHT_FREQUENCY,WEEKDAY_SERVICE,SATURDAY_SERVICE,SUNDAY_SERVICE,OPERATION_DAYS,IS_LOCAL_SERVICE,Shape__Length
36,19,Fort,Westbound,East - West,A southwest route that connects Detroit from Downtown Rosa Parks Transit Center to W Outer Dr & Fort. The main street served is Fort.,8.50166043322,60,60,65,60,65,60,60,5:00a - 12:31a,5:00a - 12:31a,5:00a - 11:25a,Monday - Sunday,true,0.149389362315687
37,27,Joy,Eastbound,East - West,"A west side route that connects Detroit from Telegraph & W Chicago (Redford Plaza) to Downtown Rosa Parks Transit Center. The main streets served are Joy Rd, W Lafayette and W Grand Blvd.",15.7345279945,60,60,60,60,60,60,0,6:05a - 10:52p,7:00a - 10:57p,7:00a - 7:31p,Monday - Sunday,true,0.282678439288981
38,27,Joy,Westbound,East - West,"A west side route that connects Detroit from Telegraph & W Chicago (Redford Plaza) to Downtown Rosa Parks Transit Center. The main streets served are Joy Rd, W Lafayette and W Grand Blvd.",15.904957463,60,60,60,60,60,60,0,6:05a - 10:52p,7:00a - 10:57p,7:00a - 7:31p,Monday - Sunday,true,0.285169782620679
39,29,Linwood,Northbound,North - South,A west side route that connects Detroit from Downtown Rosa Parks Transit Center to University of Detroit Mercy. The main streets used are Trumbull and Linwood.,9.6957406709,60,60,0,60,0,60,0,6:51 - 9:35p,6:51 - 9:35p,6:55a - 7:35p,Monday - Sunday,true,0.157326213456308
40,29,Linwood,Southbound,North - South,A west side route that connects Detroit from Downtown Rosa Parks Transit Center to University of Detroit Mercy. The main streets used are Trumbull and Linwood.,10.3056675088,60,60,0,60,0,60,0,6:51 - 9:35p,6:51 - 9:35p,6:55a - 7:35p,Monday - Sunday,true,0.166094089571511
41,31,Mack,Westbound,East - West,An East side route that connects Detroit from Mack & Moross to Downtown Rosa Parks Transit Center. The main streets served are Mack and Cass.,11.0324162467,30,30,60,30,60,60,60,4:30a - 11:41p,5:47a - 10:55p,6:50a - 9:32p,Monday - Sunday,true,0.196819282017382
42,31,Mack,Eastbound,East - West,An East side route that connects Detroit from Mack & Moross to Downtown Rosa Parks Transit Center. The main streets served are Mack and Cass.,11.1619942439,30,30,60,30,60,60,60,4:30a - 11:41p,5:47a - 10:55p,6:50a - 9:32p,Monday - Sunday,true,0.198036463487118
43,32,McNichols,Eastbound,East - West,A crosstown route that connects Detroit from McNichols & Telegraph to McNichols & Cadieux. The main streets used are McNichols and Seymour St.,22.1566232896,40,30,60,60,60,60,60,4:55a - 1:07a,5:45a - 1:02a,7:00a - 10:30p,Monday - Sunday,true,0.411520368251025
44,32,McNichols,Eastbound,East - West,A crosstown route that connects Detroit from McNichols & Telegraph to McNichols & Cadieux. The main streets used are McNichols and Seymour St.,1.81346114012,40,30,60,60,60,60,60,4:55a - 1:07a,5:45a - 1:02a,7:00a - 10:30p,Monday - Sunday,true,0.0282270619570679
45,32,McNichols,Westbound,East - West,A crosstown route that connects Detroit from McNichols & Telegraph to McNichols & Cadieux. The main streets used are McNichols and Seymour St.,1.8429997522,40,30,60,60,60,60,60,4:55a - 1:07a,5:45a - 1:02a,7:00a - 10:30p,Monday - Sunday,true,0.0287660922231642
46,32,McNichols,Westbound,East - West,A crosstown route that connects Detroit from McNichols & Telegraph to McNichols & Cadieux. The main streets used are McNichols and Seymour St.,22.1617128337,40,30,60,60,60,60,60,4:55a - 1:07a,5:45a - 1:02a,7:00a - 10:30p,Monday - Sunday,true,0.41161988769698
47,32,McNichols,Both,East - West,A crosstown route that connects Detroit from McNichols & Telegraph to McNichols & Cadieux. The main streets used are McNichols and Seymour St.,0.395641422505,40,30,60,60,60,60,60,4:55a - 1:07a,5:45a - 1:02a,7:00a - 10:30p,Monday - Sunday,true,0.00665937670277106
48,38,Plymouth,Eastbound,East - West,"Connects Livonia, Redford, Detroit and Hamtramck between Millennium Park and Gratiot & French. Monday-Friday peak-hour trips extend to Hayes & 8 Mile. The main streets served are Plymouth, Elmhurst, Calvert/Trowbridge, Harmon/Collingwood, Caniff, Mt Elli",20.8214382599,60,60,60,60,60,60,0,3:37a - 11:50p,3:39a - 10:50p,3:39a - 8:17p,Monday - Sunday,true,0.385829846665376
49,38,Plymouth,Westbound,East - West,"Connects Livonia, Redford, Detroit and Hamtramck between Millennium Park and Gratiot & French. Monday-Friday peak-hour trips extend to Hayes & 8 Mile. The main streets served are Plymouth, Elmhurst, Calvert/Trowbridge, Harmon/Collingwood, Caniff, Mt Elli",21.0297809089,60,60,60,60,60,60,0,3:37a - 11:50p,3:39a - 10:50p,3:39a - 8:17p,Monday - Sunday,true,0.389140906756853
50,39,Puritan,Eastbound,East - West,A west side route that connects Detroit from Southfield & Fenkell to Manchester & Woodward. The main street served is Puritan.,6.96636152911,60,60,0,60,0,60,0,6:00a - 7:24p,7:00a - 6:24p,8:00a - 4:25p,Monday - Sunday,true,0.131213686722404
51,39,Puritan,Westbound,East - West,A west side route that connects Detroit from Southfield & Fenkell to Manchester & Woodward. The main street served is Puritan.,7.75749853578,60,60,0,60,0,60,0,6:00a - 7:24p,7:00a - 6:24p,8:00a - 4:25p,Monday - Sunday,true,0.145351839297605
52,40,Russell,Northbound,North - South,"An east side route that connects Detroit from Downtown Rosa Parks Transit Center to E outer Dr & Van Dyke. The main streets served are Russell, Dequindre and E Outer Dr.",14.2087990431,60,60,0,0,0,0,0,6:00a - 7:51p,No Service,No Service,Monday - Friday,true,0.236952284502803
